time,open,high,low,close,tick_volume,spread,real_volume
2026-07-22 04:40:00,4119.57,4122.89,4118.06,4121.67,2645,8,0
2026-07-22 04:45:00,4121.67,4123.7,4118.65,4119.78,2117,7,0
2026-07-22 04:50:00,4119.77,4121.16,4118.28,4119.42,2513,7,0
2026-07-22 04:55:00,4119.46,4122.96,4117.26,4122.1,2127,8,0
2026-07-22 05:00:00,4122.1,4122.7,4119.42,4121.79,2312,11,0
2026-07-22 05:05:00,4121.79,4122.12,4118.74,4121.51,2111,8,0
2026-07-22 05:10:00,4121.51,4123.43,4120.33,4121.87,1931,8,0
2026-07-22 05:15:00,4121.91,4125.05,4119.84,4120.39,1851,9,0
2026-07-22 05:20:00,4120.38,4125.57,4120.25,4124.78,1493,8,0
2026-07-22 05:25:00,4124.8,4125.97,4123.9,4124.17,1604,8,0
2026-07-22 05:30:00,4124.18,4130.35,4122.12,4130.2,2216,8,0
2026-07-22 05:35:00,4130.17,4130.32,4124.24,4124.51,1992,7,0
2026-07-22 05:40:00,4124.48,4129.32,4124.38,4128.21,1974,8,0
2026-07-22 05:45:00,4128.21,4130.51,4127.5,4128.33,2055,11,0
2026-07-22 05:50:00,4128.32,4129.13,4126.12,4128.3,2022,10,0
2026-07-22 05:55:00,4128.3,4130.87,4126.69,4130.36,1926,8,0
2026-07-22 06:00:00,4130.49,4133.49,4129.11,4133.39,2122,8,0
2026-07-22 06:05:00,4133.4,4140.62,4132.42,4137.33,2470,8,0
2026-07-22 06:10:00,4137.36,4138.4,4134.88,4137.2,1540,8,0
2026-07-22 06:15:00,4137.2,4139.81,4136.64,4138.97,1733,8,0
2026-07-22 06:20:00,4138.97,4141.62,4138.13,4138.9,1623,8,0
2026-07-22 06:25:00,4138.83,4139.82,4136.93,4138.17,1857,8,0
2026-07-22 06:30:00,4138.16,4138.21,4134.6,4135.05,1608,8,0
2026-07-22 06:35:00,4135.04,4135.71,4132.53,4133.59,815,14,0
2026-07-22 06:40:00,4133.54,4134.36,4132.43,4133.48,1270,8,0
2026-07-22 06:45:00,4133.52,4134.36,4132.2,4132.69,1347,7,0
